,index,cik,conm,type,date,path
794251,794251,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2011-11-14,edgar/data/1067983/0001193125-11-310972.txt
815747,815747,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2011-11-14,edgar/data/1167483/0000919574-11-006190.txt
856063,856063,1350694,"Bridgewater Associates, LP",13F-HR,2011-11-14,edgar/data/1350694/0001140361-11-053066.txt
991858,991858,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2012-02-14,edgar/data/1029160/0001011438-12-000138.txt
994161,994161,1035674,PAULSON & CO INC,13F-HR,2012-02-14,edgar/data/1035674/0001035674-12-000001.txt
994689,994689,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2012-02-13,edgar/data/1037389/0001037389-12-000059.txt
1007626,1007626,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2012-02-14,edgar/data/1067983/0001193125-12-060928.txt
1038333,1038333,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2012-02-14,edgar/data/1167483/0000919574-12-001569.txt
1103494,1103494,1350694,"Bridgewater Associates, LP",13F-HR,2012-02-15,edgar/data/1350694/0001140361-12-008478.txt
1298373,1298373,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2012-05-15,edgar/data/1029160/0001011438-12-000233.txt
1300072,1300072,1035674,PAULSON & CO INC,13F-HR,2012-05-15,edgar/data/1035674/0001035674-12-000003.txt
1300558,1300558,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2012-05-14,edgar/data/1037389/0001037389-12-000061.txt
1311061,1311061,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2012-05-15,edgar/data/1067983/0001193125-12-234582.txt
1335846,1335846,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2012-05-15,edgar/data/1167483/0000919574-12-003443.txt
1385017,1385017,1350694,"Bridgewater Associates, LP",13F-HR,2012-05-15,edgar/data/1350694/0001140361-12-025314.txt
1543227,1543227,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2012-08-14,edgar/data/1029160/0001011438-12-000287.txt
1544516,1544516,1035674,PAULSON & CO INC,13F-HR,2012-08-14,edgar/data/1035674/0001166604-12-000010.txt
1544762,1544762,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2012-08-10,edgar/data/1037389/0001037389-12-000062.txt
1552603,1552603,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2012-08-14,edgar/data/1067983/0001193125-12-355534.txt
1573245,1573245,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2012-08-14,edgar/data/1167483/0000919574-12-004888.txt
1613085,1613085,1350694,"Bridgewater Associates, LP",13F-HR,2012-08-10,edgar/data/1350694/0001140361-12-036262.txt
1747530,1747530,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2012-11-14,edgar/data/1029160/0001011438-12-000346.txt
1749172,1749172,1035674,PAULSON & CO INC,13F-HR,2012-11-15,edgar/data/1035674/0001035674-12-000006.txt
1749426,1749426,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2012-11-13,edgar/data/1037389/0001037389-12-000066.txt
1757720,1757720,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2012-11-14,edgar/data/1067983/0001193125-12-470800.txt
1779815,1779815,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2012-11-14,edgar/data/1167483/0000919574-12-006283.txt
